 name ,category,supplier,subcategory,description,price,expiryDate,quantity,color,size,country,type,style,perc_alcholas,fermentation,aromas,taste,flavors,recommended,features
Gens de la lune,Biéres Artisanales,Chez Alan ,Bouteilles,Lager Tropical Collaboration entre la brasserie de la Pleine Lune et Bi�res Cultes.,4,23-10-2018,12,Blonde,33cl,Francaise,Brasserie de la pleine lune ,Pale Lager,0.049,Fermentation basse,"les houblons aromatiques s�expriment pleinement, sur un corps l_ger mais pr_sent, avec une forte dominante de fruits exotiques apport_e par l�emploi du houblon Moza�c",n.a,A d_guster fraiche entre 4� et 8�C,,L_g�re
Pleine lune tripple,Biéres Artisanales,Chez Alan ,Bouteilles,Mill_simes  2013 ,4.4,24-10-2018,12,Blonde,33cl,Francaise,Brasserie de la pleine lune ,Abbey Tripple,0.09,n.a,"puissant, sucr_ : de la levure, de fortes notes de banane, p�che, un fond fruits rouges","jolie texture, moins de tranchant aromatique qu�au nez, un c�t_ plus houblonn_, les levures sont plus pr_sentes",n.a,n.a,Forte 
Bigorre ,Biéres Artisanales,Chez Alan ,Bouteilles,n.a,4.4,25-10-2018,12,Noire,33cl,Francaise,The Piggy brewing Company,IPA ,0.073,Fermentation Haute,"cacao, bitter coffee & leaves","cacao, bitter leaves, herbal bitterness, basic coffee bitter",n.a,n.a,Moyenne 
Pig ,Biéres Artisanales,Chez Alan ,Bouteilles,n.a,4.4,26-10-2018,12,Ambr_e,33cl,Francaise,The Piggy brewing Company,IPA,0.063,Fermentation Haute,"hops, stale, citrus","old hop, oily, zest, stale, grain, bit empty, low iron","stale hop, old yeast",n.a,Moyenne 
The chouchou brew,Biéres Artisanales,Chez Alan ,Bouteilles,Pale Ale sans gluten. Houblons Citra et Sorachi Ace.,4.4,27-10-2018,12,Blonde,33cl,Francaise,The Piggy brewing Company,American Pale Ale ,0.053,Fermentation Haute,super agr_able qui tabasse sur la mangue,"on note l�astringence du Sorachi en entr_e de bouche, �a para�t sec",les fruits tropicaux,n.a,Moyenne 
Boris goudenov Bourbon barrel,Biéres Artisanales,Chez Alan ,Bouteilles,n.a,6.6,28-10-2018,12,Noire ,33cl,Francaise,Brasserie corr_zienne,Imperial Stout,0.105,Fermentation Haute,"Chocolate, raisin, vieil alcool",l'expresso ,Avec un desert chocolate,n.a,Forte 
White rabbit  ,Biéres Artisanales,Chez Alan ,Bouteilles,Bi�re blanche nihiliste ,4,29-10-2018,12,Blanche,33cl,Francaise,Brasserie Sainte Crucienne,Witbier,0.05,Fermentation Haute,"Mangue, citron vert, ananas, physalis, r_sine, malts","Mangue, fruits de la passion, orange am�re, citron",L_g�ret_ et acidit_ qui _quilibrent l'ensemble,"Tapas, poivrons grill_s, ch�vre frais, panna cotta� la mangue",Moyenne 
Tempete du desert,Biéres Artisanales,Chez Alan ,Bouteilles,n.a,4,30-10-2018,12,Blonde,33cl,Francaise,Brasserie Sainte Crucienne,Pale Ale,0.055,Fermentation Haute,"Zestes d'orange, pamplemousse, aiguilles de pin, malts, levure","Zestes d'orange, pamplemousse, malts, amande",Amertume r_sineuse et sﾏche,N.A ,Moyenne 
Sex ale and rock n' roll,Biéres Artisanales,Chez Alan ,Bouteilles,Cuv_e sp_ciale h_doniste.,5,31-10-2018,12,Ambr_e,33cl,Francaise,Brasserie Sainte Crucienne,Double IPA,0.05,Fermentation Haute,"M_re, framboise, airelle, orange confite, pamplemousse, sucre roux, caramel bien cuit","M_re, framboise, mangue, orange, pamplemousse, grenade, caramel roux","L_gﾏrement sucr_e, amertume puissante",N.a ,Moyenne 
Antisociale,Biéres Artisanales,Chez Alan ,Bouteilles,n.a,5,1/11/18,12,Noire,33cl,Francaise,Brasserie Sainte Crucienne,Black IPA,0.072,Fermentation Haute,"Orange, mandarine, pamplemousse, cassis, m_re, fraise","Citron, citron vert, orange, pain grill_, grains grill_s",Amertume sﾏche,N.A ,Forte 
Nice to meet you,Biéres Artisanales,Chez Alan ,Bouteilles,"Nice to Meet You est une bi�re cr__e pour ceux qui estiment qu�assez de houblon... c�est encore trop peu ! Du premier ar�me � la derni�re goutte, rien ne viendra att_nuer la puissance des cinq vari_t_s de houblons qui composent cette Double IPA. ",4.4,2/11/18,12,Blonde,33cl,Francaise,Les brasseurs du grand paris,Imperial IPA,0.085,Fermentation Haute,"tropical fruits,  citrus and pine with a spicy note and alcohol warmth",n.a,n.a,n.a,Forte
Porte Dor_e,Biéres Artisanales,Chez Alan ,Bouteilles,"La Porte Dor_e doit sa robe rouge ambr_e � un m_lange de 5 malts. Des saveurs de pain et de caramel se marient � un m_lange de houblons aux note _pic_es et citronn_es pour composer cette bi�re complexe et _quilibr_e. Son nom est un hommage � San Francisco, et � ce pont que nous avons souvent emprunt_. ",4,3/11/18,12,robe rouge Ambr_e,33cl,Francaise,Les brasseurs du grand paris,Ambr_e,0.052,Fermentation Haute,n.a,de pain et de caramel se marient � un m_lange de houblons aux notes _pic_es et citronn_es pour composer cette bi�re complexe et _quilibr_e,n.a,n.a,Moyenne 
Denise,Biéres Artisanales,Chez Alan ,Bouteilles,n.a,4,4/11/18,12,n.a,33cl,Francaise,Les brasseurs du grand paris,IPA,0.055,Fermentation Haute,,,,,Moyenne 
Ipa Citra Galactica,Biéres Artisanales,Chez Alan ,Bouteilles,"Nous avons con�u l�IPA Citra Galactique � partir d�une s_lection de nos houblons favoris. Ils donnent � cette bi�re des notes explosives de citron et de fruits tropicaux dont l�amertume s�_teint sur une touche finale s�che. Les encouragements des amateurs et ceux des professionnels nous ont incit_s � sortir � nouveau de notre petit atelier de Levallois. Accueillis par l�_quipe de la Brasserie Parisis, nous avons pu pr_parer cette recette pour la partager avec le plus grand nombre. ",4,5/11/18,12,Ambr_e,33cl,Francaise,Les brasseurs du grand paris,IPA,0.065,Fermentation Haute,n.a," Ils donnent � cette bi�re des notes explosives de citron et de fruits tropicaux, dont l'amertume s'_teint sur une touche finale s�che",n.a,n.a,Moyenne 
Aux antipodes,Biéres Artisanales,Chez Alan ,Bouteilles,n.a,4,6/11/18,12,Golden light Ambr_e,33cl,Francaise,Les brasseurs du grand paris,Session IPA,0.048,Fermentation Haute,"tr�s puissant, tr�s fruit_ avec le raisin en dominant",En bouche c�est _tonnamment concentr_ pour une Session puisque l�on trouve une bonne rondeur pour le style,"les fruits exotiques, plut�t fruits de la passion",n.a,L_g�re
Reve d�_toiles ,Biéres Artisanales,Chez Alan ,Bouteilles,"Bi�re de couleur noire de type Black IPA Malts : Pale Ale, Munich 20, CaraAmbr_e, Chocolat, Bl_ Hops : Nugget, Nelson Sauvin, Simcoe, Citra. Dry hopping : Nelson Sauvin, Simcoe, Citra ",5,7/11/18,12,Noire,33cl,Francaise,Brasserie Bendorf,Black IPA,0.07,Fermentation Haute,"Cr�me, herbes, r_sine, pain grill_, notes d'agrumes, ananas r�ti","Caf_ au lait, chocolat li_geois, amertume torr_fi_e et citronn_e, moka","Gambas au gingembre, joues de b?uf brais_es, bleu d'Auvergne, Epeautre",N.A,Forte
Parisis,Biéres Artisanales,Chez Alan ,Bouteilles,"Incarnation Puissante de l�Amertume. Brass_e en musique dans la plus pure tradition des moines shaolin citrappistes � partir de malts sauvages chass_s dans les lointaines contr_es de Pithiviers. Embouteill_e sous la surveillance de William et de Nelson, savant m_lange qui vous garantit l�invincible pouvoir ancestral de notre coach: Sim. Peut contenir des traces de houblon.",4,8/11/18,12,Blonde,33cl,Francaise,Brasserie Parisis,IPA,0.062,Fermentation Haute,"passion, agrumes,mangue", L'utilisation de trois houblons aux propri_t_s aromatiques _tonnantes (deux am_ricains et un n_o z_landais), Un final sec et une amertume franche en font une IPA exotique et agr_able.,"N,a ",Moyenne 
Hellfest ,Biéres Artisanales,Chez Alan ,Bouteilles,"Une bi�re dans le Style India Pale ale, bi�re dor_e de fermentation haute, houblonn_e � cru avec du mozaic, un nez bien houblonn_ d_veloppant des ar�mes de fruits exotiques, de mangue, elle est s�che avec un corps puissant domin_ par l�amertume avec une finale fruit_e.",4,9/11/18,12,robe cuivr_e,33cl,Francaise,Brasserie M_lusine,IPA,0.066,Fermentation Haute,"houblon Mozaic, fruits exotiques, on sent aussi les malts, le c�t_ c_r_ales, le sucre fruit de la passion fruits exotiques, p�che blanche",amertume fruit_e et fraicheur Accords ,N.a ,"Curry, plats indiens, thai, sauces _pic_es Gambas au gingembre, b�uf piment Fromages : Bleus puissants, Reblochon et Munster affin_s Desserts : Triflle � la mangue, cheesecake fruits exotiques ",Moyenne 
La cl_ des champs,Biéres Artisanales,Chez Alan ,Bouteilles,n.a,4,10/11/18,12,n.a,33cl,Francaise,Brasserie de Sulauze,Saison,0.035,Fermentation Haute,Bi�re en biodynamie,Saison tr�s l�gere,"ou l�on retrouve de subtiles notes florales et de citrus, sur une finale s�che, assez malt_, et am�re.",n.a,L_g�re
Ta mﾏre nature ,Biéres Artisanales,Chez Alan ,Bouteilles,n.a,11,11/11/18,12,n.a,33cl,Francaise,Brasserie de Sulauze,Lambic ,0.055,Fermentation Haute,gueuze,n.a,n.a,n.a,Moyenne 
Pan pan cul cul,Biéres Artisanales,Chez Alan ,Bouteilles,n.a,4,12/11/18,12,n.a,33cl,Francaise,Brasserie de Sulauze,RYA IPA,0.07,Fermentation Haute, elle est riche en ar�me de houblon mais reste simple � boire., Equilibr_ en bouche,sur des notes de r_sine et de fleur,n.a,Forte
Alt sept 65      ,Biéres Artisanales,Chez Alan ,Bouteilles,"Bi�re blonde tr�s _quilibr_e, toute en puissance, au mariage parfait entre les malts ses houblons et son degr_s d�alcool avec des notes d�orange am�re et une amertume longue en bouche ",4,13-11-2018,12,Blonde,33cl,Francaise,La vall_ du giffre,Imperial IPA,0.082,Fermentation Haute ,"Malts, houblon, fruits jaunes","C_r_ales, ananas, citron confit","Amertume tr�s prononc_e, tenace","Gambas grill_es au citron vert, sauce aigre-douce",Forte
La rioule Simcoe,Biéres Artisanales,Chez Alan ,Bouteilles,"Une belle robe cuivr_e pour cette India Pale Ale d�inspiration West-Coast r_solument tourn_e vers le cot_ fruit_ des houblons de la vall_e de Yakima. Un nez agrume avec des notes de fruit de la passion, une finale plut�t s�che et fruit_e avec une bonne longueur en bouche ",4,14-11-2018,12,Blonde,33cl,Francaise,La vall_ du giffre,IPA,0.058,Fermentation Haute ,"Houblons : Summit, Willamette",n.a,n.a,n.a,Moyenne 
Dark ale  ,Biéres Artisanales,Chez Alan ,Bouteilles,n.a,4,15-11-2018,12,Marron,33cl,Francaise,La vall_ du giffre,Brown Ale ,0.051,Fermentation Haute ,roasted malts as fruity hops,"balanced fruity hoppy and roasty, with come sweet chocolate","n,a","n,a",Moyenne 
Wakatu,Biéres Artisanales,Chez Alan ,Bouteilles,n.a,4,16-11-2018,12,Blonde,33cl,Francaise,La vall_ du giffre,Pale Lager ,0.048,Fermentation Basse,"Trﾏs fine, c_r_aliﾏre, bien lager en effet",n.a,n.a,n.a,L_gﾏre
La petite fum_e   ,Biéres Artisanales,Chez Alan ,Bouteilles,n.a,4,17-11-2018,12,Marron ,33cl,Francaise,La vall_ du giffre,Smoked,0.045,Fermentation Haute ,"smoke, smoked meat, ash","properly smokey, ash, bacon, really good in your face smoked affair",n.a,n.a,L_gﾏre
Cognac barrel  ,Biéres Artisanales,Chez Alan ,Bouteilles,"La Cognac Barrel est de type ambr_e, travaill_e avec du bois de barrique de cognac et des houblons franﾍais . Le nez est bois_ et la robe havane. ",5.5,18-11-2018,12,Ambr_e,33cl,Francaise,Brasserie La D_bauche,Barley Wine ,0.095,Fermentation Haute,"Fruits confits, bois, raisins secs","Caramel, sucre, fruits","Amﾏre, liquoreuse","Soupe de crevettes Thaﾥ, Civet de faison aux marrons",Forte
Nevermore  ,Biéres Artisanales,Chez Alan ,Bouteilles,"Imperial Stout vieilli avec du bois de f_t de Bourbon conf_rant des ar�mes de bois_s et vanilli_s. Ces malts torr_fi_s l�enrichissent d�un go_t subtil de caf_ et de f�ve de cacao. Son attaque cr_meuse laisse place � une multitude d�ar�mes et une amertume plut�t modeste. Label design by L�Encrier F�l_ inspired by E.A. Poe, Novel ",5.5,19-11-2018,12,Noire,33cl,Francaise,Brasserie La D_bauche,Imperial Stout,0.095,Fermentation Haute,"Chocolat, vanille, notes bois_es","Chocolat, vanille, _pices, piment","Cr_meuse, amertume plut�t modeste","Foie gras po�l_ aux pommes, vieux gouda, tarte aux myrtilles",Forte
Big boy   ,Biéres Artisanales,Chez Alan ,Bouteilles,Spiced with red chili�s ,7.2,20-11-2018,12,Noire,33cl,Francaise,Brasserie La D_bauche,Russian Imperial Stout,0.12,Fermentation Haute,"Caf_ puissant, notes de racines","Piment, _pices","Puissante en alcool, finale tr�s _pic_e et tr�s relev_e","Salade d'agrumes au miel, salmis de palombe, risotto de crevettes au citron vert",Forte
Demi mondaine   ,Biéres Artisanales,Chez Alan ,Bouteilles,Imperial stout made with coffee and chocolate beans. ,7.2,21-11-2018,12,Noire,33cl,Francaise,Brasserie La D_bauche,Imperial Stout,0.11,Fermentation Haute,gourmands des grains de caf_ et des f�ves de cacao ajout_s pendant son brassage.,"Nez pralin_ moka avec un petit grain de caf_ chocolat_ sur le dessus, note herbeuse... Gout de caf_, grain de caf_, pralin_ sucr_, un peu grill_ et note d�herbes et reglisse avec un corps liquoreux, le tout intense et long en bouche",n.a,n.a,Forte
Obscura,Biéres Artisanales,Chez Alan ,Bouteilles,n.a,6.1,22-11-2018,12,Ambr_e,33cl,Francaise,Brasserie La D_bauche,Scotch Ale barrel Aged,0.08,Fermentation Haute,"Vineuse, acidul_e, ronde",n.a,n.a,n.a,Forte
Big boy cognac barrel,Biéres Artisanales,Chez Alan ,Bouteilles,n.a,5.5,23-11-2018,12,Noire,33cl,Francaise,Brasserie La D_bauche,Imperial Stout,0.05,Fermentation Haute,n.a," Avec une entr_e de bouche sur les malts grill_s et le piment doux, elle d_voile ensuite une belle complexit_ avant de finir sur des notes _pic_es toniques.",n.a,"A r_server aux amateurs de piquant et � d_guster dans des verres assez larges, � une temp_rature conseill_e de 10� � 12�",Moyenne 
Agent provocateur,Biéres Artisanales,Chez Alan ,Bouteilles,n.a,3.3,24-11-2018,12,Blonde,33cl,Francaise,Craig alan,Pale ale ,0.065,Fermentation Haute,floral and citrus aromatic American hops,n.a,n.a,n.a,Moyenne 
Psychadelia ,Biéres Artisanales,Chez Alan ,Bouteilles,n.a,3.3,25-11-2018,12,Blonde,33cl,Francaise,Craig alan,Pale ale ,0.05,Fermentation Haute,"brewed with light pale malt and a subliminal touch of biscuit malt allowing the distinctive passion fruit flavour and aroma of the aromatic hops to shine through and leaving a dry, bitter finish.",,,,Moyenne 
Extra muros ,Biéres Artisanales,Chez Alan ,Bouteilles,n.a,3.3,26-11-2018,12,Ambr_e,33cl,Francaise,Hoppy Road,Saison,0.06,Fermentation Haute,"malt, sweet banana and peppery yeast","Malt and herb flavor with a bitter, grassy hop finish",n.a,n.a,Moyenne 
Lindy Hop,Biéres Artisanales,Chez Alan ,Bouteilles,n.a,4,27-11-2018,12,Blonde,33cl,Francaise,Hoppy Road, Witbier ,0.055,n.a,"qui allie des notes de houblon frais, lime, agrumes � une touche de c_r_ales, de pamplemousse rose et d�_pices, belle complexit_","l�attaque houblonn_e, puis agrumes, qui s�encha�ne par une bulle fra�che et digeste et une finale sur les agrumes, belle finale sur l�amertume",n.a,n.a,Moyenne 
Lemon    ,Biéres Artisanales,Chez Alan ,Bouteilles,n.a,4.4,28-11-2018,12,Blonde,33cl,Francaise,Iron,Imperial pale ale ,0.051,Fermentation Haute,Blond ,lime and lemongrass flavors,n.a,n.a,Moyenne 
Amiral   ,Biéres Artisanales,Chez Alan ,Bouteilles,n.a,4.4,29-11-2018,12,n.a,33cl,Francaise,Iron,n.a,0.066,n.a,n.a,n.a,n.a,n.a,Moyenne 
Golgoth    ,Biéres Artisanales,Chez Alan ,Bouteilles,n.a,4.4,30-11-2018,12,n.a,33cl,Francaise,Iron,n.a,0.089,n.a,n.a,n.a,n.a,n.a,Forte
Milk stout toujours ,Biéres Artisanales,Chez Alan ,Bouteilles,n.a,5,1/12/18,12,Noire,33cl,Francaise,O�clock brewing,Stout,0.085,Fermentation Haute,"Caf_, chocolat","Caf_, caf_ et caf_",N.a,,Forte 
In a rush,Biéres Artisanales,Chez Alan ,Bouteilles,n.a,5.55,2/12/18,12,roux acajou,33cl,Francaise,O�clock brewing,Barley Wine ,0.1,n.a,Ar�mes de malt superbe,"1�re bouche velout_e, � la sublime entame malt/houblon/vin moelleux. Arri�re-bouche riche, tr�s complexe, aux nuances c_lestes. 2�me � l�ensemble divin malt/fruits m_rs/bois de f_t",n.a,n.a,Forte
After work,Biéres Artisanales,Chez Alan ,Bouteilles,n.a,4,3/12/18,12,Ambr_e,33cl,Francaise,O�clock brewing,American Pale Ale ,0.05,Fermentation Haute,n.a,l_g� go_t agrume visuellement ressemble � une ambr_e,n.a,n.a,Forte
Jet Lag,Biéres Artisanales,Chez Alan ,Bouteilles,n.a,4,4/12/18,12,Ambr_e,33cl,Francaise,O�clock brewing,IPA,0.065,Fermentation Haute,"Ar�mes de mangue, prune, mirabelle, fruit de la passion, lichee","1�re bouche bien souple, au bel ensemble fruit/r_sine/houblon. Arri�re-bouche _quilibr_e, fruit_e, assez dense. 2�me � la belle texture, _voluant vers le velout_, et ensemble bien construit malt/fruit/r_sine. Arri�re-bouche longue, complexe, avec du fruit confit. 3�me qui monte encore en puissance",n.a,n.a,Moyenne 
Dark water ,Biéres Artisanales,Chez Alan ,Bouteilles,"Stout de soif ! Cette bi�re, r__dition du brassin fait avec l�agrivoise �gard � la bi�re II�, est une noire d_salt_rante. Fortement houblonn_e et faible en alcool, c�est une Black IPA facile � boire en toutes circonstances. ",4,5/12/18,12,Noire,33cl,Francaise,Ouroboros,Black IPA,0.039,Fermentation Haute,"pine, charcoal dust, cocoa.","smooth, bitter chocolate, cocoa, dry, pine, grapefruit pith",n.a,n.a,Moyenne 
Hopus dei  ,Biéres Artisanales,Chez Alan ,Bouteilles,n.a,4,6/12/18,12,Ambr_e,33cl,Francaise,Ouroboros,English Pale Ale ,0.095,Fermentation Haute,"(tropical fruits, lime), resin, herb","Moyenne dry bitter refreshing, sweet note",n.a,n.a,Forte
Nos illustre rituel La Cuv_e des Barbus ,Biéres Artisanales,Chez Alan ,Bouteilles,"GUS Brasseur de la Brasserie Ouroboros : � Bi�re brass_e originellement pour le Festival Hell Oween, � Saintes. Cet ""Illustre Rituel"" fut accompli avec la participation de David et du trio barbicole Jesus, Will et Baptistin, grands amateurs de bi�res, de metal, et de poils ! Vous tenez l� une bi�re aux doux ar�mes torr_fi_s, poss_dant l�onctuosit_ d�un r�ve et la noirceur d�un cauchemar, la cl_ d�un passage en douceur de la saison chaude � la saison froide, d�un monde � l�autre, transform_ par cette liqueur alchimique n_e du cycle des saisons. � Ingr_dients : Eau, Malts d�Orge (Pale, Munich, Carahell, Carared, Carafa), Flocons d�Avoine, Houblons (Cascade, Chinook), Vanille, Sucre, Levure. Possibles traces de barbes... ",4.4,7/12/18,12,Noire,33cl,Francaise,Ouroboros,Stout,0.0999,Fermentation Haute,de caf_ et de chocolat,Douceur g_n_rale qui se termine sur des notes de c_r_ales et une l_g�re amertume,n.a,n..a,Forte
Fortegus   ,Biéres Artisanales,Chez Alan ,Bouteilles,"Bi�re de fin du monde Cette bi�re, noire comme la nuit, f_t brass_e aux premier jour de la fin du monde. Bi�re d�excus pur malt, aux ar�mes puissants de grain, caf_, laurier, relev_e d�une pointe de houblons et d�_pices. ",4.4,8/12/18,12,Noire,33cl,Francaise,Ouroboros,Spice/herb/vegetable ,0.1,Fermentation Haute,"ar�mes puissants de grain, caf_, laurier, relev_e d�une pointe de houblons et d�_pices",Sweet overall,"spicies and herbs, then comes berries, toasted malt, toffee, light coffe notes",n.a,Forte
Goat me a stout,Biéres Artisanales,Chez Alan ,Bouteilles,n.a,4.4,9/12/18,12,Noire ,33cl,Francaise,La petite maiz,Stout,0.066,Fermentation Haute,"Le nez est l'umami, la r_glisse � base de plantes, le bois peint et les baies de r_glisse","Corps siriss_ de r_glisse avec de fortes qualit_s d'umami, touche mince, cendres faibles, baies de r_glisse douce au fond qui l'am_liore un peu.",n.a,n.a,Moyenne 
"Don�t worry , be ipa",Biéres Artisanales,Chez Alan ,Bouteilles,n.a,4.4,10/12/18,12,Ambr_e,33cl,Francaise,La petite maiz,IPA,0.061,Fermentation Haute,"C�est frais, quelques notes d�agrumes, les ar�mes de pins et r_sine sont bien pr_sent, elle a du caract�re","au niveau du gout on retrouve les meme saveurs qu�� l�odeur, le palais est l_ger mais c�est une ipa l_g�re elle aussi, le palais laisse place � une belle petite amertume. ",n.a,n.a,Moyenne 
Tzarine ,Biéres Artisanales,Chez Alan ,Bouteilles,n.a,5.5,11/12/18,12,Ambr_e,33cl,Francaise,La brasserie du Mont Salﾏve,Imperial Stout,0.09,Fermentation Haute,"Bon malt au chocolat avec beaucoup de r_glisse, vanille l_gﾏre, chaleur de l'alcool, trﾏs agr_able","Bon sucr_ fruit_ au malt au chocolat avec de bonnes notes de caf_, vanille, chaleur de l'alcool, r_glisse l_gﾏre et canon bourbon,",n.a,n.a,Forte
Export ,Biéres Artisanales,Chez Alan ,Bouteilles,n.a,5,12/12/18,12,Noire ,33cl,Francaise,La brasserie du Mont Salﾏve,stout,0.075,Fermentation Haute,"Cendres, terreux, viande, levure, chocolat noir","dark roasted malts, leather, yeast, coffee, meaty, ash, slight smoke",n.a,n.a,Moyenne 
Tourb_e   ,Biéres Artisanales,Chez Alan ,Bouteilles,n.a,5,13-12-2018,12,Ambr_e,33cl,Francaise,La brasserie du Mont Salﾏve,Smoked Ale,0.055,Fermentation Haute,"Fum_e, bois br_l_, charbon de bois, tourbe, petites notes sal_es, notes l_gﾏrement grill_es.","Fum_e, tourbe, bois br_l_, charbon de bois, cendres, notes l_gﾏrement grill_es. Finition sﾏche amﾏre et moyennement fum_e",n.a,n.a,Moyenne 
Cocoa salty porter,Biéres Artisanales,Chez Alan ,Bouteilles,n.a,4.4,14-12-2018,12,Noire ,33cl,Francaise,La brasserie du Mont Salﾏve,Porter,0.045,Fermentation Haute,"pas tres intense, chocolat amere, reglisse", noires chocolat_es,"chocolat_e, rﾪtie et sal_e",n.a,Moyenne 
Blonde    ,Biéres Artisanales,Chez Alan ,Bouteilles,n.a,4,15-12-2018,12,Blonde,33cl,Francaise,La brasserie du Mont Salﾏve,Ale,0.058,Fermentation Haute,Aller trﾏs vite avec citra houblon,"Malty et Good Hop, amer",n.a,n.a,Moyenne 
Mademoiselle aramis,Biéres Artisanales,Chez Alan ,Bouteilles,n.a,10.45,16-12-2018,12,Ambr_e,33cl,Francaise,La brasserie du Mont Salﾏve,French Pale Ale ,0.06,Fermentation Haute,"Ananas, pamplemousse, pﾐche, caramel l_ger, prune jaune","Des pamplemousses, de l'amertume forte puis des fruits exotiques, de l'ananas, de la pﾐche. Une autre vague d'amertume qui apporte une finition fruit_e sﾏche et amﾏre",n.a,n.a,Moyenne 
